binary,name,va,size,type,bind,shndx
SLUS_204.69,ListText,0xa10848,28,OBJECT,LOCAL,1
SLUS_204.69,UmnSimulationScriptNoTbl,0xa10868,28,OBJECT,LOCAL,1
SLUS_204.69,msg00.0,0xa10888,4,OBJECT,LOCAL,1
SLUS_204.69,gcc2_compiled.,0xa0c488,0,NOTYPE,LOCAL,1
SLUS_204.69,__gnu_compiled_c,0xa0c488,0,NOTYPE,LOCAL,1
SLUS_204.69,mark,0xa0c488,60,FUNC,LOCAL,1
SLUS_204.69,tail,0xa0c4c8,36,FUNC,LOCAL,1
SLUS_204.69,name.0,0xa10890,18,OBJECT,LOCAL,1
SLUS_204.69,tyaUmlDispLoad,0xa0c4f0,1348,FUNC,LOCAL,1
SLUS_204.69,buffer,0xa13660,0,NOTYPE,LOCAL,1
SLUS_204.69,TestEnv.1,0xa108b0,96,OBJECT,LOCAL,1
SLUS_204.69,texture_trans,0xa0ca38,160,FUNC,LOCAL,1
SLUS_204.69,TestEnv.2,0xa10910,112,OBJECT,LOCAL,1
SLUS_204.69,InitEnv.3,0xa10980,32,OBJECT,LOCAL,1
SLUS_204.69,TestEnv.4,0xa109a0,96,OBJECT,LOCAL,1
SLUS_204.69,TestEnv.5,0xa10a00,64,OBJECT,LOCAL,1
SLUS_204.69,TestEnv.6,0xa10a40,112,OBJECT,LOCAL,1
SLUS_204.69,tyaUmlDispType3Sub0,0xa0cad8,1048,FUNC,LOCAL,1
SLUS_204.69,tyaUmlDispType3Sub1,0xa0cef0,108,FUNC,LOCAL,1
SLUS_204.69,tyaUmlDispType3,0xa0cf60,212,FUNC,LOCAL,1
SLUS_204.69,find_text,0xa0d0c8,92,FUNC,LOCAL,1
SLUS_204.69,get_fileno,0xa0d128,120,FUNC,LOCAL,1
SLUS_204.69,tbl,0xa138e8,0,NOTYPE,LOCAL,1
SLUS_204.69,get_indexno,0xa0d1a0,116,FUNC,LOCAL,1
SLUS_204.69,base_tbl,0xa13668,0,NOTYPE,LOCAL,1
SLUS_204.69,get_selectno,0xa0d218,116,FUNC,LOCAL,1
SLUS_204.69,dbfileno_load,0xa0d290,300,FUNC,LOCAL,1
SLUS_204.69,dbheader_load,0xa0d3c0,544,FUNC,LOCAL,1
SLUS_204.69,idx.7,0xa10ab0,4,OBJECT,LOCAL,1
SLUS_204.69,msg.8,0xa10ab8,5,OBJECT,LOCAL,1
SLUS_204.69,disp_index,0xa0d5e0,292,FUNC,LOCAL,1
SLUS_204.69,gcc2_compiled.,0xa0de20,0,NOTYPE,LOCAL,1
SLUS_204.69,__gnu_compiled_c,0xa0de20,0,NOTYPE,LOCAL,1
SLUS_204.69,msg00.0,0xa10c40,4,OBJECT,LOCAL,1
SLUS_204.69,msg00.1,0xa10c48,5,OBJECT,LOCAL,1
SLUS_204.69,gcc2_compiled.,0xa0e938,0,NOTYPE,LOCAL,1
SLUS_204.69,__gnu_compiled_c,0xa0e938,0,NOTYPE,LOCAL,1
SLUS_204.69,umn_attach_tbl,0xa10c60,69,OBJECT,LOCAL,1
SLUS_204.69,event_tbl,0xa10ca8,18,OBJECT,LOCAL,1
SLUS_204.69,event_end_mail,0xa10cc0,2,OBJECT,LOCAL,1
SLUS_204.69,kosmos_special_tbl,0xa10cc8,16,OBJECT,LOCAL,1
SLUS_204.69,f_name.0,0xa10cd8,26,OBJECT,LOCAL,1
SLUS_204.69,compulsion_down_load_tbl,0xa10cf8,13,OBJECT,LOCAL,1
